2009,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,2028,Elliminyt Primary School,Primary,O,10,11,21,16,8,24,14,14,28,8,20,28,12,14,26,13,14,27,16,20,36,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
Government,1,2033,Mornington Primary School,Primary,O,43,30,73,31,23,54,34,25,59,33,26,59,27,22,49,23,28,51,29,31,60,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405
Government,1,2035,Hamilton North Primary School,Primary,O,18,15,33,24,15,39,9,13,22,11,11,22,9.6,6,15.6,19,12,31,13,8,21,0,0,0,183.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.6
Government,1,2037,Mount Blowhard Primary School,Primary,O,2,3,5,2,5,7,5,1,6,3,4.4,7.4,4,2,6,3,2.4,5.4,3,1,4,0,0,0,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8
Government,1,2041,Creswick North Primary School,Primary,O,1,5,6,4,1,5,2,2,4,0,2,2,1,3,4,2,5,7,3,4,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Government,1,2043,Black Hill Primary School,Primary,O,41,32,73,31.6,36,67.6,41,40,81,30,40,70,29,44,73,39,29,68,29,33,62,0,0,0,494.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.6
Government,1,2048,Brighton Beach Primary School,Primary,O,36,22,58,39,25,64,35,36,71,41,26,67,29,42,71,32,42,74,24,21,45,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450
Government,1,2051,Castlemaine North Primary School,Primary,O,12,15,27,13,10,23,11,9,20,9,9,18,10,15,25,12,8,20,9,12,21,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
Government,1,2054,Yarrambat Primary School,Primary,O,21,26,47,39,36,75,36,33,69,38,34,72,34,30,64,33,28,61,37,26,63,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
Government,1,2056,Thoona Primary School,Primary,O,1,3,4,0,0,0,3,3,6,4,2,6,2,2,4,1,1,2,1,2,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Government,1,2058,Casterton Primary School,Primary,O,7,11,18,12,12,24,12,11,23,13,13,26,8,8,16,20,11.4,31.4,17,8,25,0,0,0,163.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.4
Government,1,2060,Nathalia Primary School,Primary,O,15,9,24,13,12,25,8,9,17,12,16,28,8,6,14,9,12,21,10,7,17,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
Government,1,2061,Chilwell Primary School,Primary,O,28,23,51,30,20,50,24,31,55,30,19,49,23,26,49,27,20,47,21,26,47,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348
Government,1,2062,Greensborough Primary School,Primary,O,13,14,27,12,8,20,9,10,19,6,2,8,7,10,17,8,7,15,14,11,25,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
Government,1,2065,Teesdale Primary School,Primary,O,12,13,25,10,9,19,11,12,23,10,18,28,7,16,23,8,8,16,8,8,16,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Government,1,2068,Cranbourne Primary School,Primary,O,26,32,58,36,29,65,37,35,72,35,33,68,31,29,60,33.6,38,71.6,42,36,78,0,0,0,472.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.6
Government,1,2069,Katamatite Primary School,Primary,O,4,2,6,3.4,1,4.4,4,4,8,1,5,6,7,4,11,6,3,9,3,2,5,0,0,0,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4
Government,1,2072,Buangor Primary School,Primary,O,0,4,4,1,1,2,1,3,4,2,0,2,3,0,3,1,2,3,3,4,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Government,1,2087,Leitchville Primary School,Primary,O,0,1,1,3,1,4,2,0,2,4,2,6,2,0,2,3,1,4,3,1,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Government,1,2090,Whittlesea Primary School,Primary,O,30,14,44,28,26,54,15,23,38,37,25,62,23,27,50,27,29,56,28,31,59,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363
