Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,5004,Templestowe Heights Primary School,Primary,O,31,13,44,7,11,18,26,13,39,11,9,20,20,25,45,16,20,36,22,26,48,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
Government,1,5005,Ballam Park Primary School,Primary,O,30,16,46,38,21,59,23,25,48,32,29,61,30,25,55,34,31,65,28,32,60,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394
Government,1,5006,Sunbury West Primary School,Primary,O,32,31,63,34,34,68,33,33,66,35,28,63,36,33,69,28,43,71,39,39,78,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478
Government,1,5007,Gladstone Park Primary School,Primary,O,27,22,49,20,25,45,19,23,42,19,27,46,29,25,54,35,34,69,37,22,59,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
Government,1,5009,Manchester Primary School,Primary,O,22,22,44,19,16,35,23.2,17,40.2,24,20,44,33,16,49,17,16,33,20,22,42,0,0,0,287.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.2
Government,1,5010,Glendal Primary School,Primary,O,38,28,66,44,24,68,35,35,70,52,46,98,56,48,104,38,48,86,72,52,124,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616
Government,1,5011,Bimbadeen Heights Primary School,Primary,O,47,38,85,49,28,77,52,48,100,34,39,73,50,42,92,43,46,89,56.4,36,92.4,0,0,0,608.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.4
Government,1,5012,Wattle View Primary School,Primary,O,29,19,48,22,24,46,22,33,55,21,17,38,23,22,45,38,25,63,37,23,60,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
Government,1,5013,Sherbourne Primary School,Primary,O,18,25,43,15,19,34,18,21,39,19,20,39,16,12,28,17,16,33,17,18,35,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
Government,1,5015,Springvale South Primary School,Primary,C,20,19,39,14,16,30,22,17,39,12,23,35,15,13,28,10,10,20,24,14,38,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
Government,1,5019,Donburn Primary School,Primary,O,42,21,63,17,21,38,22,16,38,16,12,28,29,13,42,22,23,45,22,16,38,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
Government,1,5020,Guthrie Street Primary School Shepparton,Primary,O,40,34,74,29,44,73,32,34,66,29,34,63,46,34,80,31,28,59,38,31,69,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484
Government,1,5021,Araluen Primary School,Primary,O,18,16,34,13,15,28,17,18,35,18,15,33,14,14,28,14,27,41,22,18,40,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
Government,1,5025,Vermont South Special School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,60,161,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
Government,1,5027,Concord School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.4,37.4,119.8,119.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,62,179,179,298.8
Government,1,5029,Broadmeadows West Primary School,Primary,C,6,4,10,7,6,13,3,4,7,3,4,7,8,8,16,2,9,11,15,7,22,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Government,1,5030,Keilor Park Primary School,Primary,C,2,5,7,3,3,6,4,6,10,2,6,8,0,2,2,5,2,7,1,4,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Government,1,5031,Corio West Primary School,Primary,C,37,23,60,37,23,60,24,19,43,28,17,45,24,25,49,27,24,51,36,28,64,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372
Government,1,5032,Deer Park West Primary School,Primary,O,18,26,44,30,25,55,23,22,45,22,21,43,25,28,53,27,23,50,27,19,46,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336
Government,1,5034,Campbellfield Heights Primary School,Primary,O,15,13,28,14,15,29,18,19,37,7,7,14,16,14,30,14,15,29,14,9,23,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
Government,1,5035,Lalor North Primary School,Primary,O,21,21,42,11,20,31,33,25,58,22,22,44,27,21,48,19,30,49,25,22,47,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
Government,1,5036,Melton West Primary School,Primary,O,38,23,61,22,18,40,34,20,54,30,33,63,27,34,61,28,23,51,50,32,82,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
Government,1,5037,Diamond Creek East Primary School,Primary,O,25,21,46,30,26,56,24,36,60,28,26,54,29,27,56,40,22,62,35,18,53,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387
Government,1,5038,Brandon Park Primary School,Primary,O,9,11,20,19,17,36,17,6,23,8,15,23,8,12,20,11,21,32,11,12,23,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
Government,1,5039,Bayswater West Primary School,Primary,O,6,14,20,17,11,28,16,15,31,12,8,20,9,15,24,5,11,16,12,6,18,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
Government,1,5040,Mornington Park Primary School,Primary,O,28,19,47,19,16,35,15,13,28,22,13,35,14,11,25,17,23,40,7,17,24,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
Government,1,5042,Wodonga South Primary School,Primary,O,27,41,68,31,30,61,39,40,79,23,35,58,38,29,67,35,21,56,47,32,79,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468
Government,1,5043,Aldercourt Primary School,Primary,O,15,12,27,14,10,24,13,16,29,18,19,37,16,9,25,23,23,46,13,15,28,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
Government,1,5044,Richmond West Primary School,Primary,O,14,10,24,17,14,31,11,10,21,11,14,25,11,5,16,9,11,20,14,11,25,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
Government,1,5045,Marlborough Primary School,Primary,O,20,10,30,23,15,38,13,18,31,14,15,29,18,18,36,23,14,37,28,19,47,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
Government,1,5047,Stevensville Primary School,Primary,O,17,20,37,24,25,49,10,26,36,23,28,51,13,20,33,22,21,43,40,21,61,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310
Government,1,5048,Birmingham Primary School,Primary,O,44,47,91,47,46,93,33,51,84,43,44,87,45,34,79,52,40,92,44,40,84,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610
