"Post School Destinations of Year 12 or equivalent completers in 2018, Victorian schools",,,,,,,,,,,,,
Source: On Track Year 12 completer survey 2019 (Department of Education and Training),,,,,,,,,,,,,
,,,,,,,,,,,,,
VCAA CODE,SCHOOL NAME,SECTOR,LOCALITY,TOTAL COMPLETED YEAR 12,ON TRACK CONSENTERS,ON TRACK SURVEY DATA 2019 **,,,,,,,
,,,,,,ON TRACK RESPONDENTS*,IN EDUCATION AND TRAINING - MAY 2019,,,,NOT IN EDUCATION AND TRAINING - MAY 2019,,
,,,,,,,BACHELOR ENROLLED,DEFERRED,TAFE / VET ENROLLED,APPRENTICE / TRAINEE,EMPLOYED,LOOKING FOR WORK,Other^
,,,,(NUMBER),(NUMBER),(NUMBER),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT)
11481,GILSON COLLEGE,I,TAYLORS HILL,71,50,27,74,11,7,4,0,4,0
01516,GIPPSLAND GRAMMAR,I,SALE,83,83,48,50,25,8,4,6,6,0
01848,GIRTON GRAMMAR SCHOOL,I,BENDIGO,130,121,74,58,23,11,3,5,0,0
01626,GISBORNE SECONDARY COLLEGE,G,GISBORNE,147,123,87,37,9,8,21,21,3,1
01205,GLADSTONE PARK SECONDARY COLLEGE,G,GLADSTONE PARK - WESTMEADOWS,235,224,162,60,6,11,9,7,6,1
01103,GLEN WAVERLEY SECONDARY COLLEGE,G,GLEN WAVERLEY - WEST,330,267,184,87,2,7,3,1,1,0
1747,GOULBURN OVENS INSTITUTE OF TAFE (SHEPPARTON CAMPUS),A,SHEPPARTON - NORTH,47,31,16,0,0,50,13,19,19,0
01605,GOULBURN VALLEY GRAMMAR SCHOOL,I,SHEPPARTON - NORTH,94,83,55,76,15,5,0,2,0,2
01139,GREENSBOROUGH SECONDARY COLLEGE,G,GREENSBOROUGH,89,64,43,26,7,16,16,33,2,0
01562,GROVEDALE COLLEGE,G,GROVEDALE,94,67,48,38,10,15,8,27,2,0
15458,HAILEYBURY GIRLS COLLEGE,I,NORTH MELBOURNE,160,148,80,86,6,3,3,1,1,0
01334,HALLAM SENIOR SECONDARY COLLEGE,G,HALLAM,224,183,108,9,11,22,22,22,12,1
01721,HEATHDALE CHRISTIAN COLLEGE,I,WERRIBEE,76,64,39,67,3,13,10,5,3,0
11954,HEATHERTON CHRISTIAN COLLEGE,I,MOORABBIN - HEATHERTON,29,25,16,44,0,44,0,0,13,0
01315,HEATHMONT COLLEGE,G,RINGWOOD EAST,44,37,24,17,17,33,4,8,21,0
01413,HIGHVIEW COLLEGE,I,MARYBOROUGH REGION,43,39,26,65,19,8,0,8,0,0
01742,HOPPERS CROSSING SECONDARY COLLEGE,G,HOPPERS CROSSING - SOUTH,184,184,128,38,5,17,11,22,7,1
01395,HORSHAM COLLEGE,G,HORSHAM REGION,74,72,53,34,17,9,13,21,6,0
14997,HUME ANGLICAN GRAMMAR,I,CRAIGIEBURN - MICKLEHAM,59,39,28,79,0,14,4,4,0,0
01553,HUME CENTRAL SECONDARY COLLEGE,G,BROADMEADOWS,118,88,66,42,6,15,6,15,15,0
01474,HUNTINGTOWER SCHOOL,I,MOUNT WAVERLEY - SOUTH,89,60,43,91,5,5,0,0,0,0
11577,ILIM COLLEGE,I,BROADMEADOWS,66,52,30,73,0,17,3,3,0,3
15395,ILIM COLLEGE,I,DALLAS,35,29,17,88,6,0,0,6,0,0
15072,ISLAMIC COLLEGE OF MELBOURNE,I,TARNEIT,21,21,14,64,0,14,14,7,0,0
01368,IVANHOE GIRLS' GRAMMAR SCHOOL,I,IVANHOE,123,92,59,85,8,2,0,3,0,2
01418,IVANHOE GRAMMAR SCHOOL,I,IVANHOE,206,178,103,89,5,2,1,2,1,0
01887,IVANHOE GRAMMAR SCHOOL,I,SOUTH MORANG,62,58,32,78,13,0,3,6,0,0
14992,JOHN MONASH SCIENCE SCHOOL,G,CLAYTON,225,164,129,90,3,2,2,3,1,0
01427,JOHN PAUL COLLEGE,C,FRANKSTON NORTH,115,84,60,47,12,7,8,23,3,0
13409,KAMBRYA COLLEGE,G,BERWICK - SOUTH,167,119,82,48,9,12,10,13,7,1
1606,KANGAN INSTITUTE OF TAFE,A,BROADMEADOWS,37,28,20,0,0,35,15,30,15,5
01905,KARDINIA INTERNATIONAL COLLEGE,I,NORTH GEELONG - BELL PARK,205,177,115,72,17,5,0,5,0,0
01740,KEILOR DOWNS SECONDARY COLLEGE,G,KEILOR DOWNS,171,87,63,67,3,11,3,14,2,0
01038,KERANG TECHNICAL HIGH SCHOOL,G,KERANG,36,29,16,50,0,6,25,19,0,0
01373,KEW HIGH SCHOOL,G,KEW EAST,185,101,61,66,5,7,3,20,0,0
01040,KEYSBOROUGH SECONDARY COLLEGE,G,KEYSBOROUGH,95,69,47,49,2,17,13,11,9,0
01316,KILBREDA COLLEGE,C,MENTONE,152,147,85,61,13,12,2,12,0,0
01212,KILLESTER COLLEGE,C,SPRINGVALE,139,130,78,67,6,21,3,4,0,0
01110,KILVINGTON GRAMMAR SCHOOL,I,ORMOND - GLEN HUNTLY,72,50,38,82,8,5,0,5,0,0
01059,KINGSWOOD COLLEGE,I,BOX HILL,49,48,35,69,17,14,0,0,0,0
14564,KOLBE CATHOLIC COLLEGE,C,GREENVALE - BULLA,121,101,57,63,4,12,11,5,5,0
01351,KOO WEE RUP SECONDARY COLLEGE,G,KOO WEE RUP,99,87,59,32,10,12,15,24,5,2
01248,KORUMBURRA SECONDARY COLLEGE,G,KORUMBURRA,37,37,24,25,17,8,17,25,8,0
01691,KURNAI COLLEGE,G,CHURCHILL,142,127,74,30,8,20,22,11,5,4
01754,KURUNJANG SECONDARY COLLEGE,G,MELTON,59,52,31,26,0,29,13,23,6,3
01043,KYNETON HIGH SCHOOL,G,KYNETON,47,30,24,29,8,17,21,13,13,0
11799,LAKES ENTRANCE SECONDARY COLLEGE,G,LAKES ENTRANCE,16,15,12,33,17,25,0,17,8,0
12911,LAKEVIEW SENIOR COLLEGE,G,CAROLINE SPRINGS,299,154,92,68,4,11,8,5,3,0
01163,LALOR NORTH SECONDARY COLLEGE,G,EPPING,61,60,34,32,6,32,18,6,6,0
01217,LALOR SECONDARY COLLEGE,G,LALOR,137,122,101,51,4,18,7,12,6,2
01222,LAVALLA CATHOLIC COLLEGE,C,TRARALGON,157,97,68,49,19,12,12,9,0,0
01198,LEONGATHA SECONDARY COLLEGE,G,LEONGATHA,57,47,34,21,18,9,18,35,0,0
01940,LIGHTHOUSE CHRISTIAN COLLEGE,I,KEYSBOROUGH,44,22,17,65,0,24,12,0,0,0
01622,LILYDALE HEIGHTS COLLEGE,G,LILYDALE - COLDSTREAM,54,39,25,24,8,4,4,52,8,0
01096,LILYDALE HIGH SCHOOL,G,LILYDALE - COLDSTREAM,242,183,118,42,8,14,11,21,4,0
01426,LORETO COLLEGE,C,BALLARAT,141,121,81,44,20,22,5,6,2,0
01424,LORETO MANDEVILLE HALL,C,TOORAK,107,90,65,91,5,2,2,2,0,0
01533,LORNE P-12 COLLEGE,G,LORNE - ANGLESEA,22,18,11,45,18,0,9,9,18,0
01265,LOWANNA COLLEGE,G,MOE - NEWBOROUGH,70,62,45,18,9,13,31,27,0,2
01374,LOWTHER HALL ANGLICAN GRAMMAR SCHOOL,I,ESSENDON - ABERFELDIE,74,73,61,80,7,10,0,2,2,0
01577,LOYOLA COLLEGE,C,WATSONIA,222,202,119,66,9,13,9,2,1,0
01320,LUTHER COLLEGE,I,CROYDON HILLS - WARRANWOOD,173,144,98,63,13,9,9,4,1,0
01115,LYNDALE SECONDARY COLLEGE,G,DANDENONG NORTH,120,92,64,55,5,25,5,8,3,0
01599,LYNDHURST SECONDARY COLLEGE,G,CRANBOURNE NORTH,71,48,28,39,0,14,7,25,14,0
01563,MACKILLOP CATHOLIC REGIONAL COLLEGE,C,WERRIBEE - SOUTH,225,167,107,60,7,9,7,15,2,0
01366,MACROBERTSON GIRLS HIGH SCHOOL,G,ALBERT PARK,239,125,94,90,5,2,1,1,0,0
01307,MAFFRA SECONDARY COLLEGE,G,MAFFRA,53,49,37,30,11,19,5,30,5,0
14923,MANOR LAKES P-12 COLLEGE,G,WYNDHAM VALE,87,62,42,29,12,5,17,26,12,0
01100,MANSFIELD SECONDARY COLLEGE,G,MANSFIELD (VIC.),47,37,21,24,29,19,19,10,0,0
01405,MARANATHA CHRISTIAN SCHOOL,I,ENDEAVOUR HILLS,56,38,25,68,4,8,4,16,0,0
01268,MARCELLIN COLLEGE,C,BULLEEN,229,220,112,66,6,8,15,4,0,0
01105,MARIAN COLLEGE,C,ARARAT,70,67,37,30,22,11,5,32,0,0
01734,MARIAN COLLEGE,C,SUNSHINE WEST,115,76,43,65,9,16,5,5,0,0
01429,MARIBYRNONG SECONDARY COLLEGE,G,MARIBYRNONG,149,149,84,54,10,13,7,12,2,2
01494,MARIST-SION COLLEGE,C,WARRAGUL,119,94,53,36,13,13,21,15,2,0
