"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total"
"Government",1,5002,"Mossfiel Primary School","Primary","O",39.00,31.00,70.00,37.00,35.00,72.00,25.00,30.00,55.00,39.00,27.00,66.00,29.00,37.00,66.00,32.00,25.00,57.00,37.00,29.00,66.00,0.00,0.00,0.00,452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,452.00
"Government",1,5004,"Templestowe Heights Primary School","Primary","O",23.00,33.00,56.00,13.00,18.00,31.00,19.00,16.00,35.00,16.00,18.00,34.00,17.00,10.00,27.00,26.00,17.00,43.00,18.00,17.00,35.00,0.00,0.00,0.00,261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.00
"Government",1,5005,"Ballam Park Primary School","Primary","O",34.00,25.00,59.00,31.00,18.00,49.00,22.00,19.00,41.00,17.00,28.00,45.00,28.00,22.00,50.00,26.00,20.00,46.00,31.00,17.00,48.00,0.00,0.00,0.00,338.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,338.00
"Government",1,5006,"Sunbury West Primary School","Primary","O",26.00,23.00,49.00,26.00,9.00,35.00,21.00,27.00,48.00,27.00,24.00,51.00,22.00,18.00,40.00,25.00,21.00,46.00,28.00,31.00,59.00,0.00,0.00,0.00,328.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.00
"Government",1,5007,"Gladstone Park Primary School","Primary","O",36.00,19.00,55.00,29.00,14.00,43.00,33.00,22.00,55.00,36.00,28.00,64.00,25.00,19.00,44.00,45.00,33.00,78.00,31.60,36.00,67.60,0.00,0.00,0.00,406.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406.60
"Government",1,5009,"Manchester Primary School","Primary","O",33.00,27.00,60.00,22.00,20.00,42.00,23.00,14.00,37.00,23.00,22.00,45.00,23.00,30.00,53.00,21.00,14.00,35.00,20.00,19.00,39.00,0.00,0.00,0.00,311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311.00
"Government",1,5010,"Glendal Primary School","Primary","O",76.00,70.00,146.00,52.00,64.00,116.00,53.00,50.00,103.00,58.00,49.00,107.00,61.00,45.00,106.00,63.00,48.00,111.00,71.00,33.00,104.00,0.00,0.00,0.00,793.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,793.00
"Government",1,5011,"Bimbadeen Heights Primary School","Primary","O",41.00,39.00,80.00,34.00,55.00,89.00,40.00,46.00,86.00,41.00,44.00,85.00,42.00,51.00,93.00,40.00,42.00,82.00,49.00,26.00,75.00,0.00,0.00,0.00,590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590.00
"Government",1,5012,"Wattle View Primary School","Primary","O",17.00,19.00,36.00,23.00,21.00,44.00,16.00,11.00,27.00,18.00,15.00,33.00,13.00,15.00,28.00,21.00,13.00,34.00,19.00,18.00,37.00,0.00,0.00,0.00,239.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00
"Government",1,5013,"Sherbourne Primary School","Primary","O",16.00,16.00,32.00,17.00,14.00,31.00,14.00,13.00,27.00,23.00,23.00,46.00,23.00,21.00,44.00,14.00,20.00,34.00,17.00,21.00,38.00,0.00,0.00,0.00,252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.00
"Government",1,5019,"Donburn Primary School","Primary","O",41.00,23.00,64.00,28.00,19.00,47.00,34.00,45.00,79.00,23.00,34.00,57.00,28.00,25.00,53.00,40.00,24.00,64.00,18.00,24.00,42.00,0.00,0.00,0.00,406.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406.00
"Government",1,5020,"Guthrie Street Primary School Shepparton","Primary","O",36.00,42.00,78.00,42.00,47.00,89.00,32.00,31.00,63.00,37.00,29.00,66.00,44.00,35.00,79.00,36.00,28.00,64.00,24.00,38.00,62.00,0.00,0.00,0.00,501.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,501.00
"Government",1,5021,"Araluen Primary School","Primary","O",9.00,15.00,24.00,12.00,14.00,26.00,13.00,10.00,23.00,8.00,11.00,19.00,10.00,8.00,18.00,12.00,11.00,23.00,10.00,9.00,19.00,0.00,0.00,0.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00
"Government",1,5025,"Vermont South Special School","Special","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.40,59.60,173.00,173.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.00
"Government",1,5027,"Concord School","Special","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.80,38.60,158.40,158.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.20,63.20,213.40,213.40,371.80
"Government",1,5032,"Deer Park West Primary School","Primary","O",35.00,20.00,55.00,33.00,25.00,58.00,23.00,23.00,46.00,17.00,21.00,38.00,22.00,32.00,54.00,23.00,16.00,39.00,28.00,17.00,45.00,0.00,0.00,0.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335.00
